Medellín, 5
Abejorral, 4
Abriaquí, 2
Alejandría, 3
Amagá, 5
Amalfi, 4
Andes, 5
Angelópolis, 4
Angostura, 3
Anorí, 4
Santafé de Antioquia, 1
Anza, 3
Apartadó, 5
Arboletes, 5
Argelia, 0
Armenia, 3
Barbosa, 5
Belmira, 3
Bello, 5
Betania, 4
Betulia, 1
Ciudad Bolívar, 5
Briceño, 0
Buriticá, 3
Cáceres, 4
Caicedo, 3
Caldas, 5
Campamento, 0
Cañasgordas, 1
Caracolí, 0
Caramanta, 0
Carepa, 5
El Carmen de Viboral, 5
Carolina, 3
Caucasia, 5
Chigorodó, 5
Cisneros, 1
Cocorná, 0
Concepción, 3
Concordia, 1
Copacabana, 5
Dabeiba, 1
Don Matías, 5
Ebéjico, 0
El Bagre, 1
Entrerrios, 4
Envigado, 5
Fredonia, 4
Frontino, 0
Giraldo, 3
Girardota, 5
Gómez Plata, 4
Granada, 0
Guadalupe, 3
Guarne, 5
Guatapé, 4
Heliconia, 3
Hispania, 0
Itagui, 5
Ituango, 1
Jardín, 4
Jericó, 1
La Ceja, 5
La Estrella, 5
La Pintada, 4
La Unión, 5
Liborina, 3
Maceo, 0
Marinilla, 5
Montebello, 3
Murindó, 3
Mutatá, 4
Nariño, 3
Necoclí, 1
Nechí, 1
Olaya, 2
Peñol, 1
Peque, 3
Pueblorrico, 0
Puerto Berrío, 5
Puerto Nare, 1
Puerto Triunfo, 4
Remedios, 1
Retiro, 1
Sabanalarga, 0
Sabaneta, 5
Salgar, 5
San Andrés de Cuerquía, 3
San Carlos, 4
San Francisco, 0
San Jerónimo, 3
San José de La Montaña, 3
San Juan de Urabá, 1
San Luis, 4
San Pedro, 1
San Pedro de Uraba, 1
San Rafael, 4
San Roque, 1
San Vicente, 1
Santa Bárbara, 1
Santa Rosa de Osos, 4
Santo Domingo, 3
El Santuario, 5
Segovia, 5
Sonson, 1
Sopetrán, 0
Támesis, 4
Tarazá, 5
Tarso, 4
Titiribí, 5
Toledo, 3
Turbo, 5
Uramita, 0
Urrao, 1
Valdivia, 1
Valparaíso, 0
Vegachí, 4
Venecia, 4
Vigía del Fuerte, 3
Yalí, 0
Yarumal, 5
Yolombó, 0
Yondó, 4
Zaragoza, 5
Barranquilla, 5
Baranoa, 5
Campo de La Cruz, 1
Candelaria, 1
Galapa, 1
Juan de Acosta, 1
Luruaco, 5
Malambo, 5
Manatí, 1
Palmar de Varela, 5
Piojó, 0
Polonuevo, 1
Ponedera, 1
Puerto Colombia, 1
Repelón, 5
Sabanagrande, 5
Sabanalarga, 5
Santa Lucía, 1
Santo Tomás, 5
Soledad, 5
Suan, 1
Tubará, 1
Usiacurí, 1
Bogotá, D.C., 5
Cartagena, 5
Achí, 4
Altos del Rosario, 1
Arenal, 4
Arjona, 5
Arroyohondo, 1
Barranco de Loba, 4
Calamar, 1
Cantagallo, 0
Cicuco, 4
Córdoba, 0
Clemencia, 4
El Carmen de Bolívar, 5
El Guamo, 4
El Peñón, 4
Hatillo de Loba, 0
Magangué, 1
Mahates, 1
Margarita, 2
María La Baja, 5
Montecristo, 5
Mompós, 5
Morales, 1
Pinillos, 3
Regidor, 4
Río Viejo (1)(3), 5
San Cristóbal, 4
San Estanislao, 1
San Fernando, 3
San Jacinto, 1
San Jacinto del Cauca, 4
San Juan Nepomuceno, 5
San Martín de Loba, 1
San Pablo, 5
Santa Catalina, 4
Santa Rosa, 1
Santa Rosa del Sur, 5
Simití, 1
Soplaviento, 1
Talaigua Nuevo, 4
Tiquisio, 1
Turbaco, 5
Turbaná, 5
Villanueva, 5
Zambrano, 1
Tunja, 5
Almeida, 2
Aquitania, 4
Arcabuco, 3
Belén, 0
Berbeo, 2
Betéitiva, 2
Boavita, 0
Boyacá, 2
Briceño, 2
Buenavista, 2
Busbanzá, 2
Caldas, 2
Campohermoso, 2
Cerinza, 3
Chinavita, 3
Chiquinquirá, 5
Chiscas, 3
Chita, 3
Chitaraque, 3
Chivatá, 0
Ciénega, 3
Cómbita, 2
Coper, 2
Corrales, 3
Covarachía, 2
Cubará, 3
Cucaita, 3
Cuítiva, 2
Chíquiza, 2
Chivor, 2
Duitama, 5
El Cocuy, 0
El Espino, 3
Firavitoba, 3
Floresta, 3
Gachantivá, 2
Gameza, 3
Garagoa, 1
Guacamayas, 2
Guateque, 4
Guayatá, 3
Güicán, 3
Iza, 2
Jenesano, 3
Jericó, 2
Labranzagrande, 3
La Capilla, 2
La Victoria, 2
La Uvita, 2
Villa de Leyva, 4
Macanal, 3
Maripí, 3
Miraflores, 4
Mongua, 3
Monguí, 3
Moniquirá, 4
Motavita, 2
Muzo, 1
Nobsa, 4
Nuevo Colón, 3
Oicatá, 2
Otanche, 4
Pachavita, 2
Páez, 3
Paipa, 1
Pajarito, 2
Panqueba, 2
Pauna, 0
Paya, 2
Paz de Río, 3
Pesca, 3
Pisba, 2
Puerto Boyacá, 5
Quípama, 3
Ramiriquí, 4
Ráquira, 0
Rondón, 2
Saboyá, 2
Sáchica, 3
Samacá, 4
San Eduardo, 2
San José de Pare, 2
San Luis de Gaceno, 3
San Mateo, 3
San Miguel de Sema, 2
San Pablo de Borbur, 3
Santana, 3
Santa María, 3
Santa Rosa de Viterbo, 4
Santa Sofía, 2
Sativanorte, 2
Sativasur, 2
Siachoque, 3
Soatá, 4
Socotá, 3
Socha, 0
Sogamoso, 1
Somondoco, 2
Sora, 2
Sotaquirá, 2
Soracá, 2
Susacón, 2
Sutamarchán, 2
Sutatenza, 2
Tasco, 3
Tenza, 3
Tibaná, 3
Tibasosa, 0
Tinjacá, 2
Tipacoque, 2
Toca, 0
Togüí, 2
Tópaga, 3
Tota, 2
Tununguá, 2
Turmequé, 3
Tuta, 3
Tutazá, 2
Umbita, 3
Ventaquemada, 3
Viracachá, 2
Zetaquira, 3
Manizales, 5
Aguadas, 1
Anserma, 5
Aranzazu, 1
Belalcázar, 1
Chinchiná, 5
Filadelfia, 4
La Dorada, 5
La Merced, 3
Manzanares, 1
Marmato, 3
Marquetalia, 1
Marulanda, 3
Neira, 5
Norcasia, 4
Pácora, 4
Palestina, 0
Pensilvania, 1
Riosucio, 5
Risaralda, 1
Salamina, 1
Samaná, 1
San José, 3
Supía, 1
Victoria, 0
Villamaría, 5
Viterbo, 4
Florencia, 5
Albania, 0
Belén de Los Andaquies, 1
Cartagena del Chairá, 1
Curillo, 1
El Doncello, 1
El Paujil, 5
La Montañita, 1
Milán, 3
Morelia, 3
Puerto Rico, 1
San José del Fragua, 1
San Vicente del Caguán, 5
Solano, 3
Solita, 0
Valparaíso, 0
Popayán, 5
Almaguer, 3
Argelia, 4
Balboa, 1
Bolívar, 4
Buenos Aires, 0
Cajibío, 3
Caldono, 3
Caloto(1)(3), 0
Corinto, 5
El Tambo, 4
Florencia, 3
Guapi, 5
Inzá, 0
Jambaló, 3
La Sierra, 3
La Vega, 0
López, 1
Mercaderes, 0
Miranda, 5
Morales, 3
Padilla, 0
Paez, 0
Patía, 1
Piamonte, 2
Piendamó, 4
Puerto Tejada, 5
Puracé, 3
Rosas, 3
San Sebastián, 3
Santander de Quilichao, 1
Santa Rosa, 3
Silvia, 3
Sotara, 2
Suárez, 4
Sucre, 3
Timbío, 1
Timbiquí, 0
Toribio, 3
Totoró, 3
Villa Rica, 1
Valledupar, 5
Aguachica, 5
Agustín Codazzi, 4
Astrea, 1
Becerril, 1
Bosconia, 1
Chimichagua, 1
Chiriguaná, 1
Curumaní, 1
El Copey, 1
El Paso, 3
Gamarra, 1
González, 3
La Gloria, 4
La Jagua de Ibirico, 1
Manaure, 1
Pailitas, 1
Pelaya, 1
Pueblo Bello, 0
Río de Oro, 1
La Paz, 1
San Alberto, 5
San Diego, 4
San Martín, 1
Tamalameque, 0
Montería, 5
Ayapel, 1
Buenavista, 1
Canalete, 4
Cereté, 1
Chimá, 0
Chinú, 1
Ciénaga de Oro, 5
Cotorra, 0
La Apartada, 5
Lorica, 5
Los Córdobas, 4
Momil, 1
Montelíbano(1)(3), 5
Moñitos, 4
Planeta Rica, 5
Pueblo Nuevo, 1
Puerto Escondido, 3
Puerto Libertador, 5
Purísima, 4
Sahagún, 1
San Andrés Sotavento (1) (3), 5
San Antero, 1
San Bernardo del Viento, 1
San Carlos, 4
San Pelayo, 0
Tierralta, 1
Valencia, 0
Agua de Dios, 0
Albán, 3
Anapoima, 3
Anolaima, 0
Arbeláez, 0
