city, label
Medellín, 1
Abejorral, 4
Abriaquí, 2
Alejandría, 3
Amagá, 1
Amalfi, 4
Andes, 1
Angelópolis, 4
Angostura, 3
Anorí, 4
Santafé de Antioquia, 5
Anza, 3
Apartadó, 1
Arboletes, 1
Argelia, 0
Armenia, 3
Barbosa, 1
Belmira, 3
Bello, 1
Betania, 4
Betulia, 5
Ciudad Bolívar, 1
Briceño, 0
Buriticá, 3
Cáceres, 4
Caicedo, 3
Caldas, 1
Campamento, 0
Cañasgordas, 5
Caracolí, 0
Caramanta, 0
Carepa, 1
El Carmen de Viboral, 1
Carolina, 3
Caucasia, 1
Chigorodó, 1
Cisneros, 5
Cocorná, 0
Concepción, 3
Concordia, 5
Copacabana, 1
Dabeiba, 5
Don Matías, 1
Ebéjico, 3
El Bagre, 5
Entrerrios, 4
Envigado, 1
Fredonia, 4
Frontino, 0
Giraldo, 3
Girardota, 1
Gómez Plata, 4
Granada, 0
Guadalupe, 3
Guarne, 1
Guatapé, 4
Heliconia, 3
Hispania, 0
Itagui, 1
Ituango, 5
Jardín, 4
Jericó, 5
La Ceja, 1
La Estrella, 1
La Pintada, 4
La Unión, 1
Liborina, 3
Maceo, 3
Marinilla, 1
Montebello, 3
Murindó, 3
Mutatá, 4
Nariño, 3
Necoclí, 5
Nechí, 5
Olaya, 2
Peñol, 5
Peque, 3
Pueblorrico, 0
Puerto Berrío, 1
Puerto Nare, 5
Puerto Triunfo, 4
Remedios, 5
Retiro, 5
Sabanalarga, 0
Sabaneta, 1
Salgar, 1
San Andrés de Cuerquía, 3
San Carlos, 4
San Francisco, 0
San Jerónimo, 3
San José de La Montaña, 3
San Juan de Urabá, 5
San Luis, 4
San Pedro, 5
San Pedro de Uraba, 5
San Rafael, 4
San Roque, 5
San Vicente, 5
Santa Bárbara, 5
Santa Rosa de Osos, 4
Santo Domingo, 3
El Santuario, 1
Segovia, 1
Sonson, 5
Sopetrán, 0
Támesis, 4
Tarazá, 1
Tarso, 4
Titiribí, 1
Toledo, 3
Turbo, 1
Uramita, 0
Urrao, 5
Valdivia, 5
Valparaíso, 0
Vegachí, 4
Venecia, 4
Vigía del Fuerte, 3
Yalí, 0
Yarumal, 1
Yolombó, 0
Yondó, 4
Zaragoza, 1
Barranquilla, 1
Baranoa, 1
Campo de La Cruz, 5
Candelaria, 5
Galapa, 5
Juan de Acosta, 5
Luruaco, 1
Malambo, 1
Manatí, 5
Palmar de Varela, 1
Piojó, 0
Polonuevo, 5
Ponedera, 5
Puerto Colombia, 5
Repelón, 1
Sabanagrande, 1
Sabanalarga, 1
Santa Lucía, 5
Santo Tomás, 1
Soledad, 1
Suan, 5
Tubará, 5
Usiacurí, 5
Bogotá D.C., 1
Cartagena, 1
Achí, 4
Altos del Rosario, 5
Arenal, 4
Arjona, 1
Arroyohondo, 5
Barranco de Loba, 0
Calamar, 5
Cantagallo, 0
Cicuco, 4
Córdoba, 0
Clemencia, 4
El Carmen de Bolívar, 1
El Guamo, 4
El Peñón, 4
Hatillo de Loba, 0
Magangué, 5
Mahates, 5
Margarita, 2
María La Baja, 1
Montecristo, 1
Mompós, 1
Morales, 5
Pinillos, 3
Regidor, 4
Río Viejo (1)(3), 1
San Cristóbal, 4
San Estanislao, 5
San Fernando, 3
San Jacinto, 5
San Jacinto del Cauca, 4
San Juan Nepomuceno, 1
San Martín de Loba, 5
San Pablo, 1
Santa Catalina, 4
Santa Rosa, 5
Santa Rosa del Sur, 1
Simití, 5
Soplaviento, 5
Talaigua Nuevo, 4
Tiquisio, 5
Turbaco, 1
Turbaná, 1
Villanueva, 1
Zambrano, 5
Tunja, 1
Almeida, 2
Aquitania, 4
Arcabuco, 3
Belén, 0
Berbeo, 2
Betéitiva, 2
Boavita, 0
Boyacá, 2
Briceño, 2
Buenavista, 2
Busbanzá, 2
Caldas, 2
Campohermoso, 2
Cerinza, 3
Chinavita, 3
Chiquinquirá, 1
Chiscas, 3
Chita, 3
Chitaraque, 3
Chivatá, 0
Ciénega, 3
Cómbita, 2
Coper, 2
Corrales, 3
Covarachía, 2
Cubará, 3
Cucaita, 3
Cuítiva, 2
Chíquiza, 2
Chivor, 2
Duitama, 1
El Cocuy, 3
El Espino, 3
Firavitoba, 3
Floresta, 3
Gachantivá, 2
Gameza, 3
Garagoa, 5
Guacamayas, 2
Guateque, 4
Guayatá, 3
Güicán, 3
Iza, 2
Jenesano, 3
Jericó, 2
Labranzagrande, 3
La Capilla, 2
La Victoria, 2
La Uvita, 2
Villa de Leyva, 4
Macanal, 3
Maripí, 3
Miraflores, 4
Mongua, 3
Monguí, 3
Moniquirá, 4
Motavita, 2
Muzo, 5
Nobsa, 4
Nuevo Colón, 3
Oicatá, 2
Otanche, 4
Pachavita, 2
Páez, 3
Paipa, 5
Pajarito, 2
Panqueba, 2
Pauna, 0
Paya, 2
Paz de Río, 3
Pesca, 3
Pisba, 2
Puerto Boyacá, 1
Quípama, 3
Ramiriquí, 4
Ráquira, 0
Rondón, 2
Saboyá, 2
Sáchica, 3
Samacá, 4
San Eduardo, 2
San José de Pare, 2
San Luis de Gaceno, 3
San Mateo, 3
San Miguel de Sema, 2
San Pablo de Borbur, 3
Santana, 3
Santa María, 3
Santa Rosa de Viterbo, 4
Santa Sofía, 2
Sativanorte, 2
Sativasur, 2
Siachoque, 3
Soatá, 4
Socotá, 3
Socha, 0
Sogamoso, 5
Somondoco, 2
Sora, 2
Sotaquirá, 2
Soracá, 2
Susacón, 2
Sutamarchán, 2
Sutatenza, 2
Tasco, 3
Tenza, 3
Tibaná, 3
Tibasosa, 0
Tinjacá, 2
Tipacoque, 2
Toca, 0
Togüí, 2
Tópaga, 3
Tota, 2
Tununguá, 2
Turmequé, 3
Tuta, 3
Tutazá, 2
Umbita, 3
Ventaquemada, 3
Viracachá, 2
Zetaquira, 3
Manizales, 1
Aguadas, 5
Anserma, 1
Aranzazu, 5
Belalcázar, 5
Chinchiná, 1
Filadelfia, 4
La Dorada, 1
La Merced, 3
Manzanares, 5
Marmato, 3
Marquetalia, 5
Marulanda, 3
Neira, 1
Norcasia, 4
Pácora, 4
Palestina, 0
Pensilvania, 5
Riosucio, 1
Risaralda, 5
Salamina, 5
Samaná, 5
San José, 3
Supía, 5
Victoria, 0
Villamaría, 1
Viterbo, 4
Florencia, 1
